session,date,n_trials,n_left,n_right,n_catch,n_hit,n_miss,n_incorrect,accuracy,miss_rate,incorrect_rate,catch_rate,mean_rt_hit,mean_rt_all_go,session_duration_min,n_licks,lick_rate_hz,n_camera_frames,camera_fps_est
230504,2023-05-04,101,58,43,0,1,99,0,0.009900990099009901,0.9801980198019802,0.0,0.0,0.5127506000000011,1.1813175940594085,10.503690696666666,6712,10.650224754063581,2214,9.989990029991372
230507,2023-05-07,350,162,160,28,26,289,7,0.08074534161490683,0.8975155279503105,0.021739130434782608,0.08,0.6219823384615061,1.1286063012422312,50.796276154999994,0,,7700,9.990628790220704
230508,2023-05-08,294,147,131,16,13,261,4,0.046762589928057555,0.9388489208633094,0.014388489208633094,0.05442176870748299,0.7676748307692643,1.1631579974820223,39.60234495666667,0,,6468,9.990279458085702
230509,2023-05-09,287,97,123,67,66,144,10,0.3,0.6545454545454545,0.045454545454545456,0.23344947735191637,0.6585986318181829,0.9856586645454515,64.30760063166667,262776,68.10392483907066,6314,9.990568902956705
230510,2023-05-10,191,68,82,41,69,79,2,0.46,0.5266666666666666,0.013333333333333334,0.21465968586387435,0.4142585942028926,0.823471214000009,41.408033474999996,210746,84.82492498596817,4202,9.990618808933702
230511,2023-05-11,228,113,102,13,73,139,3,0.3395348837209302,0.6465116279069767,0.013953488372093023,0.05701754385964912,0.46721445753424473,0.9356037195348733,33.61670962833333,0,,5016,9.990568902956705
230512,2023-05-12,558,305,242,11,19,528,0,0.03473491773308958,0.9652650822669104,0.0,0.01971326164874552,0.46492159473682504,1.1744704369286993,62.19031619833333,225139,60.336028115696045,12276,9.991018074745085
230513,2023-05-13,215,96,96,23,93,90,9,0.484375,0.46875,0.046875,0.10697674418604651,0.3134023537634549,0.7168397114583424,44.424524285,372727,139.83529968297705,4730,9.992915023249363
230514,2023-05-14,372,205,165,2,5,365,0,0.013513513513513514,0.9864864864864865,0.0,0.005376344086021506,0.603944020000003,1.1919484416216157,39.072365313333336,28039,11.960286072243395,8184,9.992915023249363
230515,2023-05-15,243,133,110,0,0,243,0,0.0,1.0,0.0,0.0,,1.2000031711934178,25.076462958333334,670,0.44530469409585505,5346,9.993124730193896
230516,2023-05-16,125,57,57,11,56,55,3,0.49122807017543857,0.4824561403508772,0.02631578947368421,0.088,0.39630610714286174,0.7744346280701777,23.581092591666668,130687,92.3670800324321,2750,9.992885065832914
230517,2023-05-17,209,96,95,18,76,92,23,0.39790575916230364,0.4816753926701571,0.12041884816753927,0.0861244019138756,0.3049881131579067,0.7081883926701663,30.172902398333335,160412,88.60709845006531,4598,9.992915023246525
230518,2023-05-18,406,207,175,24,121,163,98,0.31675392670157065,0.42670157068062825,0.25654450261780104,0.059113300492610835,0.2852088272727402,0.6238354528795887,48.656071225,179410,61.45516050482694,8932,9.992895051648713
230519,2023-05-19,228,122,104,2,27,199,0,0.11946902654867257,0.8805309734513275,0.0,0.008771929824561403,0.32374078148149177,1.0953171942477844,24.682871528333333,42094,28.423219148604414,5016,9.992984924582478
230520,2023-05-20,488,242,227,19,72,388,9,0.1535181236673774,0.8272921108742004,0.019189765458422176,0.0389344262295082,0.2912622624999797,1.0389881046908196,83.29788270666667,0,,10736,9.99307479915554
230521,2023-05-21,240,78,104,58,77,78,27,0.4230769230769231,0.42857142857142855,0.14835164835164835,0.24166666666666667,0.37124130909091174,0.6820545159340728,58.348646970000004,0,,5280,9.992925009079624
230522,2023-05-22,362,159,168,35,81,159,87,0.24770642201834864,0.48623853211009177,0.26605504587155965,0.09668508287292818,0.33188431111111444,0.6856808155963388,51.02845289333333,192417,62.846310600550765,7964,9.99309477152009
230523,2023-05-23,186,59,90,37,51,63,35,0.3422818791946309,0.4228187919463087,0.2348993288590604,0.1989247311827957,0.5292787901960729,0.7046288785234875,36.552071845,189427,86.37312489575149,4092,9.99187660432075
